id,recebe_roll,recebe_granel
0CDRJ,1,1
1012,1,0
1082,1,0
1175,0,1
1266,1,0
1481,1,0
5022,1,0
5234,1,0
5270,1,0
5377,0,1
5412,0,1
9035,0,1
9108,0,1
9112,0,1
9119,0,1
9160,0,1
9250,0,1
9336,0,1
L003,1,0
L005,1,0
L007,1,0
L010,1,0
L012,0,1
L018,0,1
L019,0,1
L020,0,1
L022,1,0
L031,0,1
L032,0,1
L046,0,1
L067,0,1
L069,0,1
L090,0,1
L095,1,0
L119,0,1
L131,1,0
L139,1,0
L164,1,0
L175,0,1
L184,0,1
L227,0,1
L258,1,0
L278,0,1
L281,1,0
L308,0,1
L369,1,0
L419,1,0
L424,0,1
L463,1,0
L480,1,0
L502,1,0
L503,1,0
L508,1,0
L519,1,0
L523,1,0
L526,1,0
L529,1,0
L534,1,0
L537,0,1
L544,0,1
L554,1,0
L573,1,0
L596,1,0
L602,1,0
L607,0,1
L617,0,1
L623,1,0
L650,1,0
L759,1,0
L760,1,0
L774,1,0
L776,1,0
L782,1,0
L783,0,1
L839,1,0
L858,1,0
L886,1,0
L954,1,0
L977,1,0
