"id","descarregamento_granel","descarregamento_roll"
"0CDRJ",0,0
1012,3,0.25
1082,3,0.25
1175,3,0.25
1266,3,0.25
1481,3,0.25
5022,3,0.25
5234,3,0.25
5270,3,0.25
5377,3,0.25
5412,3,0.25
9035,3,0.25
9108,3,0.25
9112,3,0.25
9119,3,0.25
9160,3,0.25
9250,3,0.25
9336,3,0.25
"L003",3,0.25
"L005",3,0.25
"L007",3,0.25
"L010",3,0.25
"L012",3,0.25
"L018",3,0.25
"L019",3,0.25
"L020",3,0.25
"L022",3,0.25
"L031",3,0.25
"L032",3,0.25
"L046",3,0.25
"L067",3,0.25
"L069",3,0.25
"L090",3,0.25
"L095",3,0.25
"L119",3,0.25
"L131",3,0.25
"L139",3,0.25
"L164",3,0.25
"L175",3,0.25
"L184",3,0.25
"L227",3,0.25
"L258",3,0.25
"L278",3,0.25
"L281",3,0.25
"L308",3,0.25
"L369",3,0.25
"L419",3,0.25
"L424",3,0.25
"L463",3,0.25
"L480",3,0.25
"L502",3,0.25
"L503",3,0.25
"L508",3,0.25
"L519",3,0.25
"L523",3,0.25
"L526",3,0.25
"L529",3,0.25
"L534",3,0.25
"L537",3,0.25
"L544",3,0.25
"L554",3,0.25
"L573",3,0.25
"L596",3,0.25
"L602",3,0.25
"L607",3,0.25
"L617",3,0.25
"L623",3,0.25
"L650",3,0.25
"L759",3,0.25
"L760",3,0.25
"L774",3,0.25
"L776",3,0.25
"L782",3,0.25
"L783",3,0.25
"L839",3,0.25
"L858",3,0.25
"L886",3,0.25
"L954",3,0.25
"L977",3,0.25
