loja_id,volume_sem_roll,volume_com_roll
0CDRJ,0,0
1012,7.7,15.399999618530273
1082,11.55,23.100000381469727
1175,13.35,26.700000762939453
1266,14.55,29.100000381469727
1481,6.35,12.699999809265137
5022,11.07,22.139999389648438
5234,3.47,6.940000057220459
5270,8.16,16.31999969482422
5377,0.14,0.2800000011920929
5412,5.09,10.180000305175781
9035,1.38,2.759999990463257
9108,1.78,3.559999942779541
9112,1.18,2.359999895095825
9119,0.65,1.2999999523162842
9160,0.48,0.9599999785423279
9250,0.62,1.2400000095367432
9336,0.76,1.5199999809265137
L003,13.24,26.479999542236328
L005,8.46,16.920000076293945
L007,7.21,14.420000076293945
L010,13.54,27.079999923706055
L012,31.24,62.47999954223633
L018,17.34,34.68000030517578
L019,22.43,44.86000061035156
L020,13.22,26.440000534057617
L022,17.29,34.58000183105469
L031,14.17,28.34000015258789
L032,17.4,34.79999923706055
L046,15.17,30.34000015258789
L067,15.43,30.860000610351562
L069,15.47,30.940000534057617
L090,28.8,57.599998474121094
L095,11.78,23.559999465942383
L119,23.2,46.400001525878906
L131,12.44,24.8799991607666
L139,11.43,22.860000610351562
L164,16.98,33.959999084472656
L175,29.13,58.2599983215332
L184,23.21,46.41999816894531
L227,13.59,27.18000030517578
L258,15.61,31.219999313354492
L278,9.5,19.0
L281,9.99,19.979999542236328
L308,35.69,71.37999725341797
L369,12.24,24.479999542236328
L419,6.52,13.039999961853027
L424,26.49,52.97999954223633
L463,9.72,19.440000534057617
L480,9.17,18.34000015258789
L502,9.49,18.979999542236328
L503,3.96,7.920000076293945
L508,12.13,24.260000228881836
L519,12.36,24.719999313354492
L523,4.2,8.399999618530273
L526,17.02,34.040000915527344
L529,5.31,10.619999885559082
L534,6.53,13.0600004196167
L537,9.83,19.65999984741211
L544,10.16,20.31999969482422
L554,7.1,14.199999809265137
L573,16.54,33.08000183105469
L596,5.56,11.119999885559082
L602,5.55,11.100000381469727
L607,5.0,10.0
L617,5.03,10.0600004196167
L623,4.47,8.9399995803833
L650,2.93,5.860000133514404
L759,6.93,13.859999656677246
L760,4.41,8.819999694824219
L774,9.7,19.399999618530273
L776,7.35,14.699999809265137
L782,5.15,10.300000190734863
L783,3.79,7.579999923706055
L839,3.97,7.940000057220459
L858,4.24,8.479999542236328
L886,4.99,9.979999542236328
L954,1.44,2.880000114440918
L977,7.58,15.15999984741211
