"loja_id","hora_inicial"
"0CDRJ",6.0
"1012",13.0
"1082",11.0
"1175",15.0
"1266",11.0
"1481",10.0
"5022",11.0
"5234",9.0
"5270",7.0
"5377",8.5
"5412",6.0
"9035",6.0
"9108",19.0
"9112",6.0
"9119",9.0
"9160",19.0
"9250",10.0
"9336",6.5
L003,19.0
L005,15.0
L007,11.0
L010,6.0
L012,6.0
L018,8.5
L019,6.0
L020,7.0
L022,18.0
L031,19.0
L032,7.0
L046,9.0
L054,10.0
L067,17.5
L069,19.0
L087,8.0
L090,7.0
L095,10.0
L119,9.5
L131,12.0
L139,6.5
L164,20.5
L175,13.0
L184,6.5
L227,10.0
L258,13.5
L278,10.5
L281,8.5
L308,8.0
L369,10.0
L419,9.0
L424,12.0
L463,7.0
L480,10.0
L502,13.5
L503,20.0
L508,21.5
L519,10.0
L523,17.0
L526,13.0
L529,16.0
L534,6.5
L537,13.0
L544,11.0
L554,6.0
L573,12.0
L596,9.0
L602,9.0
L607,19.0
L617,8.0
L623,6.5
L650,11.5
L663,10.0
L759,14.0
L760,11.0
L774,12.0
L776,12.5
L782,11.0
L783,17.0
L788,18.0
L839,18.0
L858,8.0
L886,13.0
L954,9.5
L977,18.5
